username,text,date
Gerardo43009504,Check out elamigoamoroso1.0's video! #TikTok https://t.co/rTJtehFAZL,2023-03-30 03:22:43+00:00
rv_aowzict,god my fyp in tiktok is flooding again with AWAE jdajja gilbert blythe stop being so dreamy,2023-03-30 03:22:41+00:00
life0fking,Check out King 👑's video! #TikTok https://t.co/wyiqpY3rG8 we poppin on the tiktok slide over there,2023-03-30 03:22:40+00:00
fatmaAlkhazraj,Sleeping at 3 Am when I had to wake up at 6 AM was the dumbest thing I did ( after making a TikTok account ofc ) * https://t.co/yb7YfunZyA,2023-03-30 03:22:38+00:00
_jtamia,This is the funniest tiktok i’ve seen in the last month 😭😭😭😭 https://t.co/iBcOgToyta,2023-03-30 03:22:37+00:00
MikeDanScott,"@HawleyMO Hey everyone, Josh wants thousands of small businesses to close up, go under, be snuffed out, take your p… https://t.co/UqVqXCwT2G",2023-03-30 03:22:35+00:00
DemonKingDMT,Don't miss out. https://t.co/1NKYg8R2ew,2023-03-30 03:22:34+00:00
_Lind_L_Tailor,@ABC @FoxNews @CNN @IGN @GameSpot @GameStop @pcgamer @MetaQuestVR @SteamVR @gameinformer @YouTube @Twitch @ESL… https://t.co/UROIAUH8yB,2023-03-30 03:22:33+00:00
PalAmPatriot,Let's ban TikTok for being so intrusive and pass a bill that is even more intrusive. https://t.co/orryQ7YqLx,2023-03-30 03:22:33+00:00
AD1968F,A US ban on TikTok could damage the idea of the global internet | Kenneth Rogoff | The Guardian https://t.co/746L2sYeJe,2023-03-30 03:22:32+00:00
YasmhneeO_o,That fake doctor on TikTok actually was speaking facts. I don’t think all doctors steer towards medication but a lo… https://t.co/0aI0aMD1NS,2023-03-30 03:22:27+00:00
maggieglass,Why is cottage cheese popping up on my TikTok feed? Is this the new tinned fish??,2023-03-30 03:22:25+00:00
staysaasy,@dudzik_eth Kids these days are out there with Square readers and TikTok brand marketing videos where they make it… https://t.co/h7ugf8rMAx,2023-03-30 03:22:24+00:00
VVenom89,"New #TikTok posted today! 
Like, follw, etc.
https://t.co/M8EWaD3dpG",2023-03-30 03:22:19+00:00
sorjazi,"when I first seen you in Facebook, Twitter, YouTube, TikTok I was just amazed 😱  your my 1/00000 there is no one th… https://t.co/hfIrtKMgHy",2023-03-30 03:22:18+00:00
wholesaleluxur2,"Dm me to get more detail and discount🥰🥰
Album👉 https://t.co/CkQUhOLBtu
pinterest:https://t.co/ren04rGgm1
tiktok:… https://t.co/i4rHeRKmoD",2023-03-30 03:22:16+00:00
TalhaKh34514606,Check out Mohsin 's video! #TikTok https://t.co/mh3DtFpJs2,2023-03-30 03:22:14+00:00
Dorothy85007455,"Check it out &amp; engage sunshines.

ANJI SALVAVION
#AnjiSalvacion || @anjisalvacion 

Check out TheChikkaness's video… https://t.co/OfgkUvFW0P",2023-03-30 03:22:14+00:00
mightybishop,AI portrait on tiktok thinks I’m Asian that .01% “broadly Chinese” from 23&amp;me rly comin thru,2023-03-30 03:22:13+00:00
FRONTPAIGED,Y’all making that poly couple on TikTok rich and don’t even know it,2023-03-30 03:22:09+00:00
kpophaulph_,"New Seventeen Lightstick Strap! 😍 A useful accessory for your bong~ 🤩

- Adjustable
- Fit to all versions
- With fr… https://t.co/MOIhINdNu2",2023-03-30 03:22:08+00:00
Caroltvalways,Check out doc rich's video! #TikTok https://t.co/DdtFHKV9ya,2023-03-30 03:22:08+00:00
grimesunnie,obsessed with this lady on tiktok that reviews different types and flavours of tinned fish https://t.co/PNGpkg3J0u,2023-03-30 03:22:05+00:00
LuciteaTV,You need 76 just saying Check out Daily Wire's video! #TikTok https://t.co/BYm7MyVQLt,2023-03-30 03:22:05+00:00
Meliecate,FR #LeeYoungJi are you flirting with me? 👀 slay queen 👑 https://t.co/9fdVbLmJ8n,2023-03-30 03:22:05+00:00
gerardtieng,@bushido49ers I circle back to this tiktok like once a month https://t.co/pquJVIIe04,2023-03-30 03:22:02+00:00
issuhslut,i want someone to ask me out to prom like those boys from tiktok who actually love their gfs but unfortunately no tengo novio🤞🏽🙈,2023-03-30 03:22:01+00:00
USEXOLUNION,Check out EXO's video! #TikTok https://t.co/CNUzKnUCyT,2023-03-30 03:22:01+00:00
1077TheBone,"""They don't even know what WiFi is!"" 🖥️ https://t.co/XeVp1MUvcx",2023-03-30 03:22:01+00:00
marszyo,Check out just make it easy's video! #TikTok https://t.co/42oL4byg5H,2023-03-30 03:21:59+00:00
TaniahhMonet,tiktok pmo all the good movies and shows,2023-03-30 03:21:59+00:00
DreamOfRwanda,"@YashengHuang The cartoon reminds me of the Tiananmen massacre, which according to TikTok, never happened",2023-03-30 03:21:58+00:00
zam469548,Tonton video Mr Hatta Shop! #TikTok https://t.co/22Bw2YQ9K1,2023-03-30 03:21:58+00:00
becerra_cc,Check out Manifestations987's video! #TikTok https://t.co/C7J3SJ7zGJ,2023-03-30 03:21:57+00:00
_ajjustdatkidd,Check out aj.kain's video! #TikTok https://t.co/HjiHYMVUzZ,2023-03-30 03:21:56+00:00
realshaunmason,"@HawleyMO Sir, very simply read your Twitter comments. And tell your fellow Congressmen to read their Twitters. The… https://t.co/mucYyQ53tn",2023-03-30 03:21:55+00:00
internetgutz,yaasssss @ i serve the base going viral on tiktok,2023-03-30 03:21:54+00:00
joga0413,Check out ✝️'s video! #TikTok https://t.co/UF5pZxXyj6,2023-03-30 03:21:54+00:00
vanillabyun,the exos dancing for a tiktok video together is still new to me 😭😭😭😭,2023-03-30 03:21:54+00:00
papageto,a thread: i love tiktok 2023 https://t.co/QxTJbabu5p… https://t.co/TguXQdpyf2,2023-03-30 03:21:54+00:00
cyjen2896,"😂😂
Check out KLIO's video! #TikTok https://t.co/BReJqyMPpR",2023-03-30 03:21:53+00:00
C_Stumblers,@tiktok_uk No one cuz tiktok bans everyone's account for absolutely nothing!,2023-03-30 03:21:51+00:00
USEXOLUNION,Check out EXO's video! #TikTok https://t.co/ijfc90a6tL,2023-03-30 03:21:51+00:00
staywithme1485,"They removed it on IG! 😢
It’s still on TikTok! 

https://t.co/X92IQpYSKi",2023-03-30 03:21:50+00:00
Kaiusafanunion,"New #RoverChallenge update with Baekhyun and Sehun joining Kai.
🔗https://t.co/pVOTWcMEaT 💛🐻💛 
@weareoneEXO #EXO… https://t.co/qOoTLF868q",2023-03-30 03:21:50+00:00
CandieceKnight,"Fun and joke aside, this lady is my favourite TikTok creative. I cry from laughter at her commentary. 😂😂",2023-03-30 03:21:49+00:00
UsmanAw74388684,Check out Faisal's video! #TikTok https://t.co/ixFEVDEB6G,2023-03-30 03:21:49+00:00
lambertraa_,My TikTok FYP has turned into all videos of Prince and my heart hurts.,2023-03-30 03:21:48+00:00
SteffMan00,Bruh the one time I shoot my shot on TikTok😭 lol first and last time,2023-03-30 03:21:47+00:00
NoBigGovDuh,@BrendanCarrFCC It's a first amendment violation and the bill is a Trojan horse to restrict a bunch of non TikTok stuff.,2023-03-30 03:21:47+00:00
Etheredge1990,Don't miss out. https://t.co/AJX2qymmKK,2023-03-30 03:21:47+00:00
Hiyyihsmile27,"Day 7
Ricky is literally catching my attention every day. He is always in my fyp in tiktok same here in Twitter. https://t.co/0m9EsvTFiq",2023-03-30 03:21:46+00:00
tswiftsfringe,"it's been a while since i was active on here, but i just wanted to share my music tiktok account! the username is @… https://t.co/zDNNqSP8gU",2023-03-30 03:21:45+00:00
