,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
51,inbox,account,recovery,hack,facebookdown,facebook,snapchatsupport,snapchatleaks,tiktok,httpstcocwgzouicvv,,,,,,
52,inbox,account,recovery,hack,facebookdown,facebook,snapchatsupport,snapchatleaks,tiktok,,,,,,,
53,inbox,account,recovery,hack,facebookdown,facebook,snapchatsupport,snapchatleaks,tiktok,httpstcovvallkwqrm,,,,,,
54,honestly,really,like,comment,positive,people,like,picture,much,video,,,,,,
55,creator,kat,stickler,be,not,worried,possible,tiktokban,httpstcohzfmyqczkd,magics,l,,,,,
56,you,all,know,try,get,rid,tiktok,educating,education,system,,,,,,
57,tiktoksupport,tiktokcreator,tiktokban,tiktokdown,tiktoklive,guy,please,help,can,,,,,,,
58,nearly,half,we,voter,would,ban,tiktok,particularly,never,use,tiktok,tiktokban,socme,,,
59,account,follow,tiktok,i,d,tiktokban,shakaholamassacre,virl,,,,,,,,
60,tiktok,ban,usa,tiktokban,ban,newtotwitter,,,,,,,,,,
61,bytedance,push,new,app,us,tiktok,face,ban,dailytopfeed,news,,,,,,
62,happen,vine,boom,tiktok,shut,right,justsaying,tiktokban,,,,,,,,
63,man,hate,tiktok,get,shadow,ban,go,couple,per,vid,less,hurt,,,,
64,lose,comfort,favorite,tiktok,videos,america,basically,jealous,app,fact,pe,,,,,
65,tiktokban,bantiktok,wechat,social,medium,app,control,chinas,communist,party,must,ban,immediat,,,
66,recently,step,social,medium,game,yes,also,start,account,week,ago,th,,,,
67,I,ve,learn,much,health,healing,unlearn,bad,habit,list,go,feed,educat,,,
68,american,media,refuse,acknowledge,view,usa,nation,one,primary,reason,,,,,,
69,tiktok,ban,divide,young,old,democrats,republicans,wsj,poll,find,tiktokban,usa,httpstcomtxwkuipji,,,
70,conversation,civil,liberty,director,electronic,frontier,foundation,eff,david,green,,,,,,
71,marketer,survey,spend,half,socialmedia,budget,tiktok,here,ban,could,mean,,,,,
72,creator,kat,stickler,be,not,worried,possible,tiktokban,magic,l,,,,,,
