username,text,date
VoicelessAmeri1,Hey @tiktok_us I am bringing awareness by posting videos of police brutality and you are blocking them on my accoun… https://t.co/ud6WHE0qfC,2023-04-23 21:44:16+00:00
ZeffersStudios,@siIentmajority #tiktokban the platform needs kicked out of the USA.  It’s just a CCP hack to corrupt #USA .  The… https://t.co/BTGw8BCL5e,2023-04-23 18:26:27+00:00
reanne_stan,Banning TikTok is the stupidest thing I’ve heard.. #tiktokban,2023-04-23 16:11:54+00:00
michael_hack05,"For Hacking or any Recovery services Dm now!
#CyberSecurity #hacker #infosec @reach2ratan #security #cyber #tech… https://t.co/YBVUxKSfda",2023-04-23 09:28:37+00:00
dellyranksindia,TikTok Usage Banned on Irish Government Devices Amid Cybersecurity Concerns #bytedance #China #EU #europeanunion… https://t.co/KGWRGtMK9R,2023-04-23 04:16:26+00:00
ArtyMedia_,Joe Rogan's father ATTACKS Joe Rogan on TikTok. This is absolutely insane. #Joerogan #jre #drama #TikTok #TikTokライブ… https://t.co/jmPZmwfIpK,2023-04-23 03:40:11+00:00
realCow_Bae,"I feel like TikTok already ‘swallowed’ instagram as social media platform, but only tech people and the government… https://t.co/pf7JO4za3a",2023-04-23 03:14:32+00:00
josephsladky,What are your thoughts on the potential #tiktokban? Should #TikTok be allowed in the us?,2023-04-23 02:14:46+00:00
sixonedude,"“If my cell phone’s from China, how come I can’t have an app from China?” 

—overheard on a TikTok Live re: the proposed #TikTokBan",2023-04-23 02:10:28+00:00
BayouBeatNews,Are you taking the right steps to make sure your child is safe when using social media? Our experts share what you… https://t.co/XrQuoA5kTd,2023-04-22 20:00:12+00:00
_Coachjv1_,"https://t.co/90Qi1dWz3w

🚨The biggest trojan horse I have ever seen! 

#tiktokban",2023-04-22 18:27:54+00:00
MidgetMoma,@finkd I think we have a right to know how much money #markzuckerberg is funneling politicians for the #tiktokban 🤔,2023-04-22 17:14:22+00:00
MidgetMoma,"When your gov’t worries about Tik Tok, but not education, gun violence, poverty, or any other REAL problem! If you… https://t.co/EQv3ujlvjj",2023-04-22 17:10:52+00:00
mbabramson,"@claresduffy @VictorBlackwell @amaracnn Interesting piece on TikTok. Please check out Amy podcast ""TikTok, the Prop… https://t.co/OrRVLCu84I",2023-04-22 17:06:22+00:00
CarolinaOuest,"Something to think about w/ #tiktokban.  Oh… and also, it’s a complete power grab by Republicans and Democrats over… https://t.co/76hCRFhieE",2023-04-22 16:29:41+00:00
ScarredStardust,"Let’s blow this popsicle stand! Before the #tiktokban lol 

#tiktokhotviral https://t.co/MvfIpLuxIB",2023-04-22 15:21:05+00:00
niccastle_,3 videos ready for today #tiktok #tiktokban,2023-04-22 14:23:40+00:00
madhyamam_eng,Ireland bans TikTok on government devices over cybersecurity concerns #TikTokban #IrelandbansTikTok https://t.co/yPig8k0APb,2023-04-22 12:57:53+00:00
DandyLookup,"#TikTok #TikTokBan #TikTok #USA
The Legal Implications of TikTok’s US App Ban Dodge
https://t.co/PX9o2VviIy",2023-04-22 11:30:06+00:00
Healthy_Dogs_,"#TikTok #TikTokBan #TikTok #USA
The Legal Implications of TikTok’s US App Ban Dodge
https://t.co/l4jTXHInvm",2023-04-22 11:24:14+00:00
Kelleyswords,"#Yemen #China #Taiwan #TikTokBan #RestrictAct @RepThomasMassie #Syria #Iran 
@KyleAnzalone_ &amp; @FreemansMind96  cove… https://t.co/qAcL9lvg0c",2023-04-22 11:22:48+00:00
bigwoice,Breaking: Ireland's NCSC says no to TikTok on official devices! Find out why and join the discussion! 😮📵🇮🇪… https://t.co/4EP8HutLTb,2023-04-22 11:07:03+00:00
abt_live,U.S. House speaker says lawmakers to move forward with #TikTok bill .....Please follow to show support.....… https://t.co/huA0epnL5i,2023-04-22 10:27:23+00:00
ikishorekrdas,A reminder of the importance of safeguarding user data and privacy in today's digital landscape. 🚫📱 #TikTokBan… https://t.co/D5gQ0wSPYs,2023-04-22 07:59:03+00:00
KrissUniverse,"I wonder with all the mass shooting in America happening,
 is this because when hypnosis is going on to long everyt… https://t.co/JHF5oe2MiZ",2023-04-22 06:46:56+00:00
niccastle_,Posting them on lemon8 as well just in case TikTok gets banned #tiktokban,2023-04-22 00:32:42+00:00
niccastle_,7 videos on tik Tom yesterday and 6 today #tiktokchallenge #tiktokban #tiktok,2023-04-22 00:32:13+00:00
Gaby_Porque,Legislative idea: My family started using TikTok and now I have a half time job debunking myths and alternative fac… https://t.co/SmymWwpGpC,2023-04-21 23:58:24+00:00
Gaby_Porque,Legislative idea: My family started using TikTok and now I have a half time job debunking myths and alternative fac… https://t.co/SDTrQH0VDG,2023-04-21 23:57:49+00:00
MarxMidwest,Tik tok is not run by the Communist Party of China but it is run by the U.S. State Department &amp; CIA a new investiga… https://t.co/VHwXK1T7AA,2023-04-21 23:54:00+00:00
brycea,How in the world will Montana enforce a ban on #TikTok? This seems like legislation that can't work in the real wor… https://t.co/99O49tP5AA,2023-04-21 20:00:09+00:00
NTDNews,"How likely is a nationwide #TikTokBan, after the company’s CEO spoke before Congress? And with lobbyists targeting… https://t.co/IKAjiyR1wU",2023-04-21 18:50:00+00:00
DandyLookup,"#TikTok #TikTokBan #TikTok #USA
The Legal Implications of TikTok’s US App Ban Dodge
https://t.co/PX9o2VvQy6",2023-04-21 17:00:24+00:00
mbabramson,"@davidwebbshow ""TikTok, the Proposed RESTRICT Act, and Data Privacy"" by the ""Advancing the Agenda"" podcast. Availab… https://t.co/2eV8aIACnL",2023-04-21 16:01:20+00:00
CharlieRooster3,How likely is a nationwide #TikTokBan after the comp CEO spoke before Congress And with lobbyists targeting high-le… https://t.co/ogQxSyM7fH,2023-04-21 15:41:27+00:00
Capterra,"75% of marketers say they will up their spending on #TikTok, despite significant brand safety concerns. Why?… https://t.co/TWIr3er0JR",2023-04-21 13:00:20+00:00
techbuzzinfo,Won't be long before we find out how phones Simon Harris has #tiktokban https://t.co/0oBUlp9Mb0,2023-04-21 12:13:03+00:00
techbooky,Should TikTok be banned in the US? 🤔 See why this writer thinks it should be banned and rightly so.… https://t.co/mT6fwGv6OZ,2023-04-21 08:28:34+00:00
NativePodcast,"As we continue to uncover the #tiktokban, An Australia-  US cybersecurity firm says that #TikTok can access your lo… https://t.co/FMMa3iEF3y",2023-04-21 07:43:02+00:00
CyberSecConnect,"“If we had this comprehensive framework that we recommended in place years ago, we would have addressed TikTok back… https://t.co/BtVELvGEfb",2023-04-21 07:39:07+00:00
CathyCu25500636,"Friday rant... how can tik tok have people hurting people and animals.. racism, violence and lots of other videos o… https://t.co/qGYp5Sxb0I",2023-04-21 06:40:44+00:00
insanepepper,"Every single app you use collects your data. Every time you use the internet, your data is being collected. The rea… https://t.co/7oMGM9Y2bG",2023-04-21 04:44:38+00:00
Mjrocker12,"@MTAGKnudsen We know you are bought and paid for.  What about Facebook, Twitter, instagram, Cambridge Analytica. Yo… https://t.co/Tr7J5xrxeE",2023-04-21 03:23:23+00:00
authorlmfox,The Bitter Rival by LM Fox #bookclapper #romancebook #clapforbooks #tiktokban #smutbook https://t.co/4Oar8IhB5D via @theclapperapp,2023-04-21 03:20:34+00:00
TheDunhamGroup,"Why Banning TikTok Would Be a Cybersecurity Disaster https://t.co/gQJhQ8gGYm

#tiktok #cybersecurity #TikTokBan",2023-04-21 02:00:00+00:00
gaynoodle42,Please help me get my account jacklooman_0042 unbanned #TikTok #tiktokban #TikTokviral https://t.co/EwGEbw0RGT,2023-04-21 01:51:13+00:00
